;店名;EN;类别;连锁;地址;Ortsteil;推荐备注;柏林慢慢游甄选20;;;;;;;;;;;;;;;;;
168;新景阳/Jing Yang;Jing Yang;饭店;否;Albrechtstr. 125, 12165 Berlin;Steglitz;;;;;;;;;;;;;;;;;;;
169;新五洲饭店/Neu Wuzhou;Neu Wuzhou;饭店;否;Marzahner Promenade 13, 12679 Berlin;Marzahn;;;;;;;;;;;;;;;;;;;
170;新阳光/Sonne;Sonne;饭店;否;Neue Kantstraße 16, 14057 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
171;兄弟城/China-Town;China-Town;饭店;否;Mariendorfer Damm 442, 12107 Berlin;Lichtenrade;;;;;;;;;;;;;;;;;;;
172;熊猫酒楼/Panda II;Panda II;饭店;否;Rudower Str. 173, 12351 Berlin;Rudow;;;;;;;;;;;;;;;;;;;
173;熊猫师傅/Panda Meister (Halensee);Panda Meister (Halensee);小吃;是;Westfälische Str. 46, 10711 Berlin;Halensee;;;;;;;;;;;;;;;;;;;
174;熊猫师傅/Panda Meister (Moabit);Panda Meister (Moabit);小吃;是;Alt-Moabit 73A, 10555 Berlin;Moabit;;;;;;;;;;;;;;;;;;;
175;熊猫师傅/Panda Meister (Ostbahnhof);Panda Meister (Ostbahnhof);小吃;是;Hermann-Stöhr-Platz 9-11, 10243 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
176;熊猫园/Panda Garden;Panda Garden;饭店;否;Heinsestraße 42, 13467 Berlin;Hermsdorf;;;;;;;;;;;;;;;;;;;
177;寻鲜记/Chuan House;Chuan House;饭店;否;Landsberger Allee 6, 10249 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
178;宴火/Yan Huo BBQ&Hotpot;Yan Huo BBQ&Hotpot;火锅;否;Kaiserdamm 89, 14057 Berlin;Westend;;;;;;;;;;;;;;;;;;;
179;宴遇/Meet You;Meet You;饭店;否;Fasanenstraße 41, 10719 Berlin;Wilmersdorf;;中式早餐｜周末点心｜海鲜粤菜;;;;;;;;;;;;;;;;;
180;杨国福/Yangguofu (Mitte);Yangguofu (Mitte);麻辣烫/冒菜;是;Weinbergsweg 5, 10119 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
181;杨国福/Yangguofu (Steglitz);Yangguofu (Steglitz);麻辣烫/冒菜;是;Albrechtstr. 131, 12165 Berlin;Steglitz;;;;;;;;;;;;;;;;;;;
182;一点茶寮/Dot Tea Bar;Dot Tea Bar;小吃;否;Gleimstraße 27, 10437 Berlin;Prenzlauer Berg;;功夫茶｜茶配小食｜白天茶夜酒;;;;;;;;;;;;;;;;;
183;一家小院/Yijian;Yijian;小吃;否;Oberbaumstraße 5, 10997 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
184;一面之缘/LaLa Noodle of Sichuan;LaLa Noodle of Sichuan;面馆;否;Enzianstraße 2, 12203 Berlin;Lichterfelde;;;;;;;;;;;;;;;;;;;
185;饮茶英雄/Yumcha Heroes;Yumcha Heroes;小吃;否;Weinbergsweg 8, 10119 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
186;永记/Goji;Goji;小吃;否;Motzstraße 58, 10777 Berlin;Schöneberg;;;;;;;;;;;;;;;;;;;
187;优米/You Mi;You Mi;饭店;否;Nürnberger Str. 28, 10789 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
188;You Mi串烧;You Mi串烧;串烧;否;Kantstraße 56, 10627 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
189;遇见易拉面馆/Yila Nudel;Yila Nudel;面馆;否;Liegnitzer Str. 30, 10999 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
190;玉面阁/Jade Palast (Charlottenburg);Jade Palast (Charlottenburg);面馆;是;Kantstraße 117A, 10627 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
191;玉面阁/Jade Palast (Fhain);Jade Palast (Fhain);饭店;是;Wühlischstraße 30, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
192;Yummy Dumpling;Yummy Dumpling;小吃;否;Schönhauser Allee 122, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
193;云涞/Wan-Loi;Wan-Loi;饭店;否;Neuköllner Str. 302, 12357 Berlin;Rudow;;;;;;;;;;;;;;;;;;;
194;张亮麻辣烫/Zhangliang mini hotpot;Zhangliang mini hotpot;麻辣烫/冒菜;否;Friedrichstraße 217, 10969 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
195;中国城大酒楼/China City;China City;饭店;否;Leipziger Str. 46, 10117 Berlin;Mitte;;市中心｜大型酒楼｜圆桌聚餐;;;;;;;;;;;;;;;;;
196;中国大酒楼/Reuter;Reuter;饭店;否;Buschkrugallee 226, 12359 Berlin;Britz;;;;;;;;;;;;;;;;;;;
197;中华饭店/Zhong Hua;Zhong Hua;饭店;否;Lindenstraße 29A, 10969 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
198;周家/Zhou´s Fine;Zhou´s Fine;饭店;否;Eichborndamm 215, 13437 Berlin;Reinickendorf;;;;;;;;;;;;;;;;;;;
199;竹园酒楼/Bambus;Bambus;饭店;否;Rheinstraße 43, 12161 Berlin;Friedenau;;;;;;;;;;;;;;;;;;;
200;Zhou's Five;Zhou's Five;饭店;否;Marktstraße 6, 10317 Berlin;Lichtenberg;;;;;;;;;;;;;;;;;;;
201;小桔碗/Mandarine Bowl;;小吃;否;Uhlandstr. 161, 10719 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
202;傻妞便利店/Shaniu‘s Market/Bistro;;小吃;否;Uhlandstr. 42, 10719 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
203;碗里香重庆小面/Chongqing-Nudeln;;小吃;否;Mall of Berlin, Leipziger Pl. 12, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
204;食坊居/Shifang House;;饭店;否;Rankestr. 32, 10789 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
205;蜀味记;;面馆;否;Anton-Wilhelm-Amo-Str. 50, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
206;摊摊豆花/Tantan Douhua;;小吃;否;Markthalle Neun, Eisenbahnstraße 42-43, 10997 Berlin;Kreuzberg;;;;;;;;;;;;;;;;;;;
207;财神饭店/Aroma (Fhain);;饭店;是;Warschauer Str. 62, 10243 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
