;店名;EN;类别;连锁;地址;Ortsteil;推荐备注;柏林慢慢游甄选20;;;;;;;;;;;;;;;;;
37;德记/Tak Kee;Tak Kee;小吃;否;Wilmersdorfer Str. 79, 10629 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
38;帝苑/Royal Garden;Royal Garden;饭店;否;Osdorfer Str. 26, 12207 Berlin;Lichterfelde;;;;;;;;;;;;;;;;;;;
39;东海楼/Donghailou Restaurant;Donghailou Restaurant;饭店;否;Ostseestraße 79, 10409 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
40;Dump Ling;Dump Ling;小吃;否;Alte Schönhauser Str. 44, 10119 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
41;多得利/Do De Li;Do De Li;饭店;否;Kantstraße 120, 10625 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
42;恩典之家/Wunderbau;Wunderbau;饭店;否;Bernhardstraße 12, 10715 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
43;恩李菜/En Lee Cai;En Lee Cai;饭店;否;Kurfürstendamm 218, 10719 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
44;帆船酒楼/Dschunke;Dschunke;饭店;否;Breite Str. 15, 14199 Berlin;Schmargendorf;;;;;;;;;;;;;;;;;;;
45;凤凰酒楼/Phönix Buffet;Phönix Buffet;饭店;否;Greifswalder Str. 90, 10409 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
46;丰源饭店/Feng Yuan;Feng Yuan;饭店;否;Kaiser-Wilhelm-Straße 8, 12247 Berlin;Lankwitz;;;;;;;;;;;;;;;;;;;
47;佛笑楼/Happy Buddha;Happy Buddha;饭店;否;Marienfelder Allee 145, 12279 Berlin;Marienfelde;;;;;;;;;;;;;;;;;;;
48;福多酒家/Fu Duo;Fu Duo;饭店;否;Triftstraße 33, 13127 Berlin;Französisch Buchholz;;;;;;;;;;;;;;;;;;;
49;福利来/Fu Li Lai;Fu Li Lai;饭店;否;Erlenstraße 19, 12167 Berlin;Steglitz;;;;;;;;;;;;;;;;;;;
50;富隆酒楼/Fu-Long;Fu-Long;饭店;否;Britzer Damm 18, 12347 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
51;福仁/Lucky;Lucky;饭店;否;Alt-Tegel 29, 13507 Berlin;Tegel;;;;;;;;;;;;;;;;;;;
52;功夫辣椒/Kongfu Chili;Kongfu Chili;面馆;否;Schliemannstraße 31, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
